CUSIP,SecurityType,SecurityTerm,AuctionDate,IssueDate,MaturityDate,Price,HighInvestmentRate,HighPrice,HighYield,InterestRate,LowInvestmentRate,LowPrice,Series,Spread,Strippable
912810TX6,Bond,30-Year,02/08/2024,02/15/2024,02/15/2054,,,,,,,,Bonds of February 2054,,Yes
912797JH1,Bill,4-Week,02/08/2024,02/13/2024,03/12/2024,,,,,,,,,,
912797JM0,Bill,8-Week,02/08/2024,02/13/2024,04/09/2024,,,,,,,,,,
91282CJZ5,Note,10-Year,02/07/2024,02/15/2024,02/15/2034,99.243059,,99.243059,0.04093,0.04,,,B-2034,,Yes
912797KE6,Bill,17-Week,02/07/2024,02/13/2024,06/11/2024,98.287722,0.05358,98.287722,,,,,,,
91282CKA8,Note,3-Year,02/06/2024,02/15/2024,02/15/2027,99.877119,,99.877119,0.04169,0.04125,,,AK-2027,,Yes
912797LL9,Bill,42-Day,02/06/2024,02/08/2024,03/21/2024,99.384000,0.05401,99.384000,,,,,,,
912797HQ3,Bill,13-Week,02/05/2024,02/08/2024,05/09/2024,98.676708,0.05394,98.676708,,,,,,,
912797GK7,Bill,26-Week,02/05/2024,02/08/2024,08/08/2024,97.449472,0.05263,97.449472,,,,,,,
912797JG3,Bill,4-Week,02/01/2024,02/06/2024,03/05/2024,99.589333,0.0539,99.589333,,,,,,,
912797JL2,Bill,8-Week,02/01/2024,02/06/2024,04/02/2024,99.181000,0.05397,99.181000,,,,,,,
912797JZ1,Bill,17-Week,01/31/2024,02/06/2024,06/04/2024,98.297639,0.05327,98.297639,,,,,,,
912797GX9,Bill,42-Day,01/30/2024,02/01/2024,03/14/2024,99.384000,0.05401,99.384000,,,,,,,
912797HH3,Bill,13-Week,01/29/2024,02/01/2024,05/02/2024,98.683028,0.05368,98.683028,,,,,,,
912797JU2,Bill,26-Week,01/29/2024,02/01/2024,08/01/2024,97.479806,0.05199,97.479806,,,,,,,
91282CJX0,Note,7-Year,01/25/2024,01/31/2024,01/31/2031,99.342733,,99.342733,0.04109,0.04,,,G-2031,,Yes
912797JF5,Bill,4-Week,01/25/2024,01/30/2024,02/27/2024,99.589333,0.0539,99.589333,,,,,,,
912797JK4,Bill,8-Week,01/25/2024,01/30/2024,03/26/2024,99.179444,0.05407,99.179444,,,,,,,
91282CJU6,Note,2-Year,01/24/2024,01/31/2024,01/31/2026,100.000000,,100.000000,,,,,AX-2026,0.00245,No
91282CJW2,Note,5-Year,01/24/2024,01/31/2024,01/31/2029,99.753334,,99.753334,0.04055,0.04,,,U-2029,,Yes
912797JY4,Bill,17-Week,01/24/2024,01/30/2024,05/28/2024,98.286069,0.05363,98.286069,,,,,,,
91282CJV4,Note,2-Year,01/23/2024,01/31/2024,01/31/2026,99.782022,,99.782022,0.04365,0.0425,,,AW-2026,,Yes
912797GQ4,Bill,42-Day,01/23/2024,01/25/2024,03/07/2024,99.384000,0.05401,99.384000,,,,,,,
912797JR9,Bill,52-Week,01/23/2024,01/25/2024,01/23/2025,95.379222,0.04814,95.379222,,,,,,,
912797HG5,Bill,13-Week,01/22/2024,01/25/2024,04/25/2024,98.679236,0.05383,98.679236,,,,,,,
912797JT5,Bill,26-Week,01/22/2024,01/25/2024,07/25/2024,97.462111,0.05237,97.462111,,,,,,,
91282CJY8,Note,10-Year,01/18/2024,01/31/2024,01/15/2034,99.351542,,99.351542,0.0181,0.0175,,,A-2034,,Yes
912797JE8,Bill,4-Week,01/18/2024,01/23/2024,02/20/2024,99.588944,0.05395,99.588944,,,,,,,
912797JJ7,Bill,8-Week,01/18/2024,01/23/2024,03/19/2024,99.179444,0.05407,99.179444,,,,,,,
912810TW8,Bond,19-Year 10-Month,01/17/2024,01/31/2024,11/15/2043,104.269985,,104.269985,0.04423,0.0475,,,Bonds of November 2043,,Yes
912797JX6,Bill,17-Week,01/17/2024,01/23/2024,05/21/2024,98.286069,0.05363,98.286069,,,,,,,
912797GP6,Bill,42-Day,01/16/2024,01/18/2024,02/29/2024,99.383417,0.05406,99.383417,,,,,,,
912796CX5,Bill,13-Week,01/16/2024,01/18/2024,04/18/2024,98.679236,0.05383,98.679236,,,,,,,
912797JS7,Bill,26-Week,01/16/2024,01/18/2024,07/18/2024,97.484861,0.05188,97.484861,,,,,,,
912797JD0,Bill,4-Week,01/11/2024,01/16/2024,02/13/2024,99.589333,0.0539,99.589333,,,,,,,
912797JH1,Bill,8-Week,01/11/2024,01/16/2024,03/12/2024,99.179444,0.05407,99.179444,,,,,,,
912810TV0,Bond,29-Year 10-Month,01/11/2024,01/16/2024,11/15/2053,108.773246,,108.773246,0.04229,0.0475,,,Bonds of November 2053,,Yes
912797JW8,Bill,17-Week,01/10/2024,01/16/2024,05/14/2024,98.287722,0.05358,98.287722,,,,,,,
91282CJJ1,Note,9-Year 10-Month,01/10/2024,01/16/2024,11/15/2033,103.823381,,103.823381,0.04024,0.045,,,F-2033,,Yes
91282CJT9,Note,3-Year,01/09/2024,01/16/2024,01/15/2027,99.706476,,99.706476,0.04105,0.04,,,AJ-2027,,Yes
912796Z28,Bill,42-Day,01/09/2024,01/11/2024,02/22/2024,99.384000,0.05401,99.384000,,,,,,,
912797HF7,Bill,13-Week,01/08/2024,01/11/2024,04/11/2024,98.676708,0.05394,98.676708,,,,,,,
912797GB7,Bill,26-Week,01/08/2024,01/11/2024,07/11/2024,97.457056,0.05247,97.457056,,,,,,,
912797JC2,Bill,4-Week,01/04/2024,01/09/2024,02/06/2024,99.588556,0.054,99.588556,,,,,,,
912797JG3,Bill,8-Week,01/04/2024,01/09/2024,03/05/2024,99.177889,0.05418,99.177889,,,,,,,
912797JV0,Bill,17-Week,01/03/2024,01/09/2024,05/07/2024,98.281111,0.05379,98.281111,,,,,,,
912797GN1,Bill,42-Day,01/02/2024,01/04/2024,02/15/2024,99.382833,0.05412,99.382833,,,,,,,
912797GZ4,Bill,13-Week,01/02/2024,01/04/2024,04/04/2024,98.674181,0.05404,98.674181,,,,,,,
912796Y52,Bill,26-Week,01/02/2024,01/04/2024,07/05/2024,97.435458,0.05264,97.435458,,,,,,,
912797JB4,Bill,4-Week,12/28/2023,01/02/2024,01/30/2024,99.585833,0.05436,99.585833,,,,,,,
912797JF5,Bill,8-Week,12/28/2023,01/02/2024,02/27/2024,99.177889,0.05418,99.177889,,,,,,,
91282CJQ5,Note,7-Year,12/28/2023,01/02/2024,12/31/2030,99.336988,,99.336988,0.03859,0.0375,,,T-2030,,Yes
912797JQ1,Bill,17-Week,12/27/2023,01/02/2024,04/30/2024,98.277806,0.0539,98.277806,,,,,,,
91282CJR3,Note,5-Year,12/27/2023,01/02/2024,12/31/2028,99.769595,,99.769595,0.03801,0.0375,,,AH-2028,,Yes
91282CJD4,Note,1-Year 10-Month,12/27/2023,12/29/2023,10/31/2025,99.854493,,99.854493,,,,,BK-2025,0.0017,No
912797GM3,Bill,42-Day,12/27/2023,12/28/2023,02/08/2024,99.384000,0.05401,99.384000,,,,,,,
