CUSIP,SecurityType,SecurityTerm,AuctionDate,IssueDate,MaturityDate,Price,HighInvestmentRate,HighPrice,HighYield,InterestRate,LowInvestmentRate,LowPrice,Series,Spread,Strippable
91282CJS1,Note,2-Year,12/26/2023,01/02/2024,12/31/2025,99.878444,,99.878444,0.04314,0.0425,,,BM-2025,,Yes
912797GY7,Bill,13-Week,12/26/2023,12/28/2023,03/28/2024,98.670389,0.0542,98.670389,,,,,,,
912796Y45,Bill,26-Week,12/26/2023,12/28/2023,06/27/2024,97.431778,0.05301,97.431778,,,,,,,
912796ZV4,Bill,52-Week,12/26/2023,12/28/2023,12/26/2024,95.353944,0.04841,95.353944,,,,,,,
91282CJH5,Note,4-Year 10-Month,12/21/2023,12/29/2023,10/15/2028,103.513682,,103.513682,0.0171,0.02375,,,AE-2028,,Yes
912797JA6,Bill,4-Week,12/21/2023,12/26/2023,01/23/2024,99.590500,0.05375,99.590500,,,,,,,
912797JE8,Bill,8-Week,12/21/2023,12/26/2023,02/20/2024,99.180222,0.05402,99.180222,,,,,,,
912810TW8,Bond,19-Year 11-Month,12/20/2023,01/02/2024,11/15/2043,107.169753,,107.169753,0.04213,0.0475,,,Bonds of November 2043,,Yes
912797JP3,Bill,17-Week,12/20/2023,12/26/2023,04/23/2024,98.274500,0.054,98.274500,,,,,,,
912797GE1,Bill,42-Day,12/19/2023,12/21/2023,02/01/2024,99.385167,0.05391,99.385167,,,,,,,
912797LL9,Bill,13-Week,12/18/2023,12/21/2023,03/21/2024,98.670389,0.0542,98.670389,,,,,,,
912796ZW2,Bill,26-Week,12/18/2023,12/21/2023,06/20/2024,97.406500,0.05354,97.406500,,,,,,,
912797HZ3,Bill,4-Week,12/14/2023,12/19/2023,01/16/2024,99.590111,0.0538,99.590111,,,,,,,
912797JD0,Bill,8-Week,12/14/2023,12/19/2023,02/13/2024,99.179444,0.05407,99.179444,,,,,,,
912797JN8,Bill,17-Week,12/13/2023,12/19/2023,04/16/2024,98.264583,0.05432,98.264583,,,,,,,
912810TV0,Bond,29-Year 11-Month,12/12/2023,12/15/2023,11/15/2053,106.755520,,106.755520,0.04344,0.0475,,,Bonds of November 2053,,Yes
912796ZY8,Bill,42-Day,12/12/2023,12/14/2023,01/25/2024,99.383417,0.05406,99.383417,,,,,,,
91282CJP7,Note,3-Year,12/11/2023,12/15/2023,12/15/2026,99.680564,,99.680564,0.0449,0.04375,,,AV-2026,,Yes
91282CJJ1,Note,9-Year 11-Month,12/11/2023,12/15/2023,11/15/2033,101.626935,,101.626935,0.04296,0.045,,,F-2033,,Yes
912797GX9,Bill,13-Week,12/11/2023,12/14/2023,03/14/2024,98.670389,0.0542,98.670389,,,,,,,
912797FS1,Bill,26-Week,12/11/2023,12/14/2023,06/13/2024,97.376167,0.05419,97.376167,,,,,,,
912797HY6,Bill,4-Week,12/07/2023,12/12/2023,01/09/2024,99.588944,0.05395,99.588944,,,,,,,
912797JC2,Bill,8-Week,12/07/2023,12/12/2023,02/06/2024,99.179444,0.05407,99.179444,,,,,,,
912797JM0,Bill,17-Week,12/06/2023,12/12/2023,04/09/2024,98.267889,0.05421,98.267889,,,,,,,
912797GD3,Bill,42-Day,12/05/2023,12/07/2023,01/18/2024,99.383417,0.05406,99.383417,,,,,,,
912797GQ4,Bill,13-Week,12/04/2023,12/07/2023,03/07/2024,98.672917,0.05409,98.672917,,,,,,,
912797HT7,Bill,26-Week,12/04/2023,12/07/2023,06/06/2024,97.376167,0.05419,97.376167,,,,,,,
912797HX8,Bill,4-Week,11/30/2023,12/05/2023,01/02/2024,99.588556,0.054,99.588556,,,,,,,
912797JB4,Bill,8-Week,11/30/2023,12/05/2023,01/30/2024,99.178667,0.05412,99.178667,,,,,,,
912797JL2,Bill,17-Week,11/29/2023,12/05/2023,04/02/2024,98.267889,0.05421,98.267889,,,,,,,
912797GC5,Bill,42-Day,11/28/2023,11/30/2023,01/11/2024,99.383417,0.05406,99.383417,,,,,,,
912797HP5,Bill,52-Week,11/28/2023,11/30/2023,11/29/2024,94.996458,0.05214,94.996458,,,,,,,
91282CJM4,Note,7-Year,11/28/2023,11/30/2023,11/30/2030,99.856744,,99.856744,0.04399,0.04375,,,S-2030,,Yes
912797GP6,Bill,13-Week,11/27/2023,11/30/2023,02/29/2024,98.665333,0.05441,98.665333,,,,,,,
912797HS9,Bill,26-Week,11/27/2023,11/30/2023,05/30/2024,97.350889,0.05472,97.350889,,,,,,,
91282CJL6,Note,2-Year,11/27/2023,11/30/2023,11/30/2025,99.977397,,99.977397,0.04887,0.04875,,,BL-2025,,Yes
91282CJN2,Note,5-Year,11/27/2023,11/30/2023,11/30/2028,99.800095,,99.800095,0.0442,0.04375,,,AG-2028,,Yes
912797HW0,Bill,4-Week,11/22/2023,11/28/2023,12/26/2023,99.587778,0.05411,99.587778,,,,,,,
912797JA6,Bill,8-Week,11/22/2023,11/28/2023,01/23/2024,99.178667,0.05412,99.178667,,,,,,,
912797JK4,Bill,17-Week,11/22/2023,11/28/2023,03/26/2024,98.261278,0.05442,98.261278,,,,,,,
91282CHP9,Note,9-Year 8-Month,11/21/2023,11/30/2023,07/15/2033,94.285157,,94.285157,0.0218,0.01375,,,D-2033,,Yes
912797FW2,Bill,41-Day,11/21/2023,11/24/2023,01/04/2024,99.398097,0.05406,99.398097,,,,,,,
91282CJD4,Note,1-Year 11-Month,11/21/2023,11/24/2023,10/31/2025,99.940709,,99.940709,,,,,BK-2025,0.0017,No
912810TW8,Bond,20-Year,11/20/2023,11/30/2023,11/15/2043,99.612655,,99.612655,0.0478,0.0475,,,Bonds of November 2043,,Yes
912796Z28,Bill,13-Week,11/20/2023,11/24/2023,02/22/2024,98.682500,0.05429,98.682500,,,,,,,
912797HR1,Bill,26-Week,11/20/2023,11/24/2023,05/23/2024,97.370472,0.05461,97.370472,,,,,,,
912797HV2,Bill,4-Week,11/16/2023,11/21/2023,12/19/2023,99.588556,0.054,99.588556,,,,,,,
912797HZ3,Bill,8-Week,11/16/2023,11/21/2023,01/16/2024,99.178667,0.05412,99.178667,,,,,,,
912797JJ7,Bill,17-Week,11/15/2023,11/21/2023,03/19/2024,98.262931,0.05437,98.262931,,,,,,,
912796ZN2,Bill,42-Day,11/14/2023,11/16/2023,12/28/2023,99.382833,0.05412,99.382833,,,,,,,
912797GN1,Bill,13-Week,11/13/2023,11/16/2023,02/15/2024,98.664069,0.05446,98.664069,,,,,,,
912797FH5,Bill,26-Week,11/13/2023,11/16/2023,05/16/2024,97.335722,0.05504,97.335722,,,,,,,
912810TV0,Bond,30-Year,11/09/2023,11/15/2023,11/15/2053,99.698482,,99.698482,0.04769,0.0475,,,Bonds of November 2053,,Yes
912797HU4,Bill,4-Week,11/09/2023,11/14/2023,12/12/2023,99.588556,0.054,99.588556,,,,,,,
912797HY6,Bill,8-Week,11/09/2023,11/14/2023,01/09/2024,99.177889,0.05418,99.177889,,,,,,,
91282CJJ1,Note,10-Year,11/08/2023,11/15/2023,11/15/2033,99.848482,,99.848482,0.04519,0.045,,,F-2033,,Yes
912797JH1,Bill,17-Week,11/08/2023,11/14/2023,03/12/2024,98.253014,0.05469,98.253014,,,,,,,
91282CJK8,Note,3-Year,11/07/2023,11/15/2023,11/15/2026,99.789641,,99.789641,0.04701,0.04625,,,AU-2026,,Yes
912797FV4,Bill,42-Day,11/07/2023,11/09/2023,12/21/2023,99.382833,0.05412,99.382833,,,,,,,
912797GM3,Bill,13-Week,11/06/2023,11/09/2023,02/08/2024,98.664069,0.05446,98.664069,,,,,,,
912797HQ3,Bill,26-Week,11/06/2023,11/09/2023,05/09/2024,97.340778,0.05494,97.340778,,,,,,,
912797HN0,Bill,4-Week,11/02/2023,11/07/2023,12/05/2023,99.588556,0.054,99.588556,,,,,,,
912797HX8,Bill,8-Week,11/02/2023,11/07/2023,01/02/2024,99.175556,0.05433,99.175556,,,,,,,
912797JG3,Bill,17-Week,11/01/2023,11/07/2023,03/05/2024,98.234833,0.05527,98.234833,,,,,,,
912797FU6,Bill,42-Day,10/31/2023,11/02/2023,12/14/2023,99.382250,0.05417,99.382250,,,,,,,
912797HE0,Bill,52-Week,10/31/2023,11/02/2023,10/31/2024,94.807944,0.05433,94.807944,,,,,,,
912797GE1,Bill,13-Week,10/30/2023,11/02/2023,02/01/2024,98.653958,0.05488,98.653958,,,,,,,
912797HH3,Bill,26-Week,10/30/2023,11/02/2023,05/02/2024,97.310444,0.05558,97.310444,,,,,,,
912797HM2,Bill,4-Week,10/26/2023,10/31/2023,11/28/2023,99.588167,0.05406,99.588167,,,,,,,
912797HW0,Bill,8-Week,10/26/2023,10/31/2023,12/26/2023,99.170889,0.05464,99.170889,,,,,,,
91282CJG7,Note,7-Year,10/26/2023,10/31/2023,10/31/2030,99.806484,,99.806484,0.04908,0.04875,,,R-2030,,Yes
912797JF5,Bill,17-Week,10/25/2023,10/31/2023,02/27/2024,98.236486,0.05521,98.236486,,,,,,,
91282CJD4,Note,2-Year,10/25/2023,10/31/2023,10/31/2025,100.000000,,100.000000,,,,,BK-2025,0.0017,No
91282CJF9,Note,5-Year,10/25/2023,10/31/2023,10/31/2028,99.894701,,99.894701,0.04899,0.04875,,,AF-2028,,Yes
91282CJE2,Note,2-Year,10/24/2023,10/31/2023,10/31/2025,99.896614,,99.896614,0.05055,0.05,,,BJ-2025,,Yes
912797FT9,Bill,42-Day,10/24/2023,10/26/2023,12/07/2023,99.381667,0.05422,99.381667,,,,,,,
912796ZY8,Bill,13-Week,10/23/2023,10/26/2023,01/25/2024,98.657750,0.05472,98.657750,,,,,,,
912797HG5,Bill,26-Week,10/23/2023,10/26/2023,04/25/2024,97.307917,0.05564,97.307917,,,,,,,
91282CJH5,Note,5-Year,10/19/2023,10/31/2023,10/15/2028,99.921449,,99.921449,0.0244,0.02375,,,AE-2028,,Yes
912797HL4,Bill,4-Week,10/19/2023,10/24/2023,11/21/2023,99.587389,0.05416,99.587389,,,,,,,
912797HV2,Bill,8-Week,10/19/2023,10/24/2023,12/19/2023,99.171667,0.05459,99.171667,,,,,,,
912810TU2,Bond,19-Year 10-Month,10/18/2023,10/31/2023,08/15/2043,89.352074,,89.352074,0.05245,0.04375,,,Bonds of August 2043,,Yes
912797JE8,Bill,17-Week,10/18/2023,10/24/2023,02/20/2024,98.229875,0.05542,98.229875,,,,,,,
912796ZD4,Bill,42-Day,10/17/2023,10/19/2023,11/30/2023,99.378750,0.05448,99.378750,,,,,,,
912797GD3,Bill,13-Week,10/16/2023,10/19/2023,01/18/2024,98.650167,0.05503,98.650167,,,,,,,
912796CX5,Bill,26-Week,10/16/2023,10/19/2023,04/18/2024,97.302861,0.05574,97.302861,,,,,,,
912797HK6,Bill,4-Week,10/12/2023,10/17/2023,11/14/2023,99.585833,0.05436,99.585833,,,,,,,
912797HU4,Bill,8-Week,10/12/2023,10/17/2023,12/12/2023,99.168556,0.0548,99.168556,,,,,,,
912810TT5,Bond,29-Year 10-Month,10/12/2023,10/16/2023,08/15/2053,88.806438,,88.806438,0.04837,0.04125,,,Bonds of August 2053,,Yes
912797JD0,Bill,17-Week,10/11/2023,10/17/2023,02/13/2024,98.229875,0.05542,98.229875,,,,,,,
91282CHT1,Note,9-Year 10-Month,10/11/2023,10/16/2023,08/15/2033,94.231522,,94.231522,0.0461,0.03875,,,E-2033,,Yes
91282CJC6,Note,3-Year,10/10/2023,10/16/2023,10/15/2026,99.681877,,99.681877,0.0474,0.04625,,,AT-2026,,Yes
912797FL6,Bill,43-Day,10/10/2023,10/12/2023,11/24/2023,99.359778,0.05484,99.359778,,,,,,,
912797GC5,Bill,13-Week,10/10/2023,10/12/2023,01/11/2024,98.650167,0.05503,98.650167,,,,,,,
912797HF7,Bill,26-Week,10/10/2023,10/12/2023,04/11/2024,97.310444,0.05558,97.310444,,,,,,,
912797HJ9,Bill,4-Week,10/05/2023,10/10/2023,11/07/2023,99.587000,0.05421,99.587000,,,,,,,
912797HN0,Bill,8-Week,10/05/2023,10/10/2023,12/05/2023,99.167000,0.0549,99.167000,,,,,,,
912797JC2,Bill,17-Week,10/04/2023,10/10/2023,02/06/2024,98.231528,0.05537,98.231528,,,,,,,
912797FK8,Bill,42-Day,10/03/2023,10/05/2023,11/16/2023,99.378167,0.05453,99.378167,,,,,,,
912797GW1,Bill,52-Week,10/03/2023,10/05/2023,10/03/2024,94.757389,0.05488,94.757389,,,,,,,
912797FW2,Bill,13-Week,10/02/2023,10/05/2023,01/04/2024,98.648903,0.05509,98.648903,,,,,,,
912797GZ4,Bill,26-Week,10/02/2023,10/05/2023,04/04/2024,97.300333,0.0558,97.300333,,,,,,,
912797HD2,Bill,4-Week,09/28/2023,10/03/2023,10/31/2023,99.588556,0.054,99.588556,,,,,,,
912797HM2,Bill,8-Week,09/28/2023,10/03/2023,11/28/2023,99.170889,0.05464,99.170889,,,,,,,
91282CHZ7,Note,7-Year,09/28/2023,10/02/2023,09/30/2030,99.715829,,99.715829,0.04673,0.04625,,,Q-2030,,Yes
912797JB4,Bill,17-Week,09/27/2023,10/03/2023,01/30/2024,98.233181,0.05532,98.233181,,,,,,,
91282CJA0,Note,5-Year,09/27/2023,10/02/2023,09/30/2028,99.849471,,99.849471,0.04659,0.04625,,,AD-2028,,Yes
91282CHS3,Note,1-Year 10-Month,09/27/2023,09/29/2023,07/31/2025,99.898738,,99.898738,,,,,BF-2025,0.00125,No
91282CJB8,Note,2-Year,09/26/2023,10/02/2023,09/30/2025,99.840020,,99.840020,0.05085,0.05,,,BH-2025,,Yes
912797FJ1,Bill,42-Day,09/26/2023,09/28/2023,11/09/2023,99.382833,0.05412,99.382833,,,,,,,
912796ZN2,Bill,13-Week,09/25/2023,09/28/2023,12/28/2023,98.652694,0.05493,98.652694,,,,,,,
912797GY7,Bill,26-Week,09/25/2023,09/28/2023,03/28/2024,97.312972,0.05553,97.312972,,,,,,,
91282CHP9,Note,9-Year 10-Month,09/21/2023,09/29/2023,07/15/2033,94.260749,,94.260749,0.02094,0.01375,,,D-2033,,Yes
912797HC4,Bill,4-Week,09/21/2023,09/26/2023,10/24/2023,99.589333,0.0539,99.589333,,,,,,,
912797HL4,Bill,8-Week,09/21/2023,09/26/2023,11/21/2023,99.175556,0.05433,99.175556,,,,,,,
912797JA6,Bill,17-Week,09/20/2023,09/26/2023,01/23/2024,98.234833,0.05527,98.234833,,,,,,,
912810TU2,Bond,19-Year 11-Month,09/19/2023,10/02/2023,08/15/2043,97.182044,,97.182044,0.04592,0.04375,,,Bonds of August 2043,,Yes
912796YT0,Bill,42-Day,09/19/2023,09/21/2023,11/02/2023,99.383417,0.05406,99.383417,,,,,,,
912797FV4,Bill,13-Week,09/18/2023,09/21/2023,12/21/2023,98.656486,0.05477,98.656486,,,,,,,
912797LL9,Bill,26-Week,09/18/2023,09/21/2023,03/21/2024,97.320556,0.05537,97.320556,,,,,,,
912797HB6,Bill,4-Week,09/14/2023,09/19/2023,10/17/2023,99.588944,0.05395,99.588944,,,,,,,
912797HK6,Bill,8-Week,09/14/2023,09/19/2023,11/14/2023,99.176333,0.05428,99.176333,,,,,,,
912797HZ3,Bill,17-Week,09/13/2023,09/19/2023,01/16/2024,98.238139,0.05516,98.238139,,,,,,,
912810TT5,Bond,29-Year 11-Month,09/13/2023,09/15/2023,08/15/2053,96.329971,,96.329971,0.04345,0.04125,,,Bonds of August 2053,,Yes
91282CHT1,Note,9-Year 11-Month,09/12/2023,09/15/2023,08/15/2033,96.678677,,96.678677,0.04289,0.03875,,,E-2033,,Yes
912797FC6,Bill,42-Day,09/12/2023,09/14/2023,10/26/2023,99.383417,0.05406,99.383417,,,,,,,
91282CHY0,Note,3-Year,09/11/2023,09/15/2023,09/15/2026,99.903057,,99.903057,0.0466,0.04625,,,AS-2026,,Yes
912797FU6,Bill,13-Week,09/11/2023,09/14/2023,12/14/2023,98.656486,0.05477,98.656486,,,,,,,
912797GX9,Bill,26-Week,09/11/2023,09/14/2023,03/14/2024,97.320556,0.05537,97.320556,,,,,,,
912797HA8,Bill,4-Week,09/07/2023,09/12/2023,10/10/2023,99.589333,0.0539,99.589333,,,,,,,
912797HJ9,Bill,8-Week,09/07/2023,09/12/2023,11/07/2023,99.177111,0.05423,99.177111,,,,,,,
912797HY6,Bill,17-Week,09/06/2023,09/12/2023,01/09/2024,98.236486,0.05521,98.236486,,,,,,,
912797FB8,Bill,42-Day,09/05/2023,09/07/2023,10/19/2023,99.383417,0.05406,99.383417,,,,,,,
912797FT9,Bill,13-Week,09/05/2023,09/07/2023,12/07/2023,98.656486,0.05477,98.656486,,,,,,,
912797GQ4,Bill,26-Week,09/05/2023,09/07/2023,03/07/2024,97.320556,0.05537,97.320556,,,,,,,
912797GL5,Bill,52-Week,09/05/2023,09/07/2023,09/05/2024,94.823111,0.05417,94.823111,,,,,,,
912797GV3,Bill,4-Week,08/31/2023,09/05/2023,10/03/2023,99.589333,0.0539,99.589333,,,,,,,
912797HD2,Bill,8-Week,08/31/2023,09/05/2023,10/31/2023,99.177111,0.05423,99.177111,,,,,,,
912797HX8,Bill,17-Week,08/30/2023,09/05/2023,01/02/2024,98.238139,0.05516,98.238139,,,,,,,
912797FA0,Bill,42-Day,08/29/2023,08/31/2023,10/12/2023,99.382833,0.05412,99.382833,,,,,,,
91282CHW4,Note,7-Year,08/29/2023,08/31/2023,08/31/2030,99.477286,,99.477286,0.04212,0.04125,,,P-2030,,Yes
912796ZD4,Bill,13-Week,08/28/2023,08/31/2023,11/30/2023,98.650167,0.05503,98.650167,,,,,,,
912797GP6,Bill,26-Week,08/28/2023,08/31/2023,02/29/2024,97.295278,0.0559,97.295278,,,,,,,
91282CHV6,Note,2-Year,08/28/2023,08/31/2023,08/31/2025,99.954869,,99.954869,0.05024,0.05,,,BG-2025,,Yes
91282CHX2,Note,5-Year,08/28/2023,08/31/2023,08/31/2028,99.888884,,99.888884,0.044,0.04375,,,AC-2028,,Yes
912810TP3,Bond,29-Year 6-Month,08/24/2023,08/31/2023,02/15/2053,91.890055,,91.890055,0.0197,0.015,,,TIPS of February 2053,,Yes
912797GU5,Bill,4-Week,08/24/2023,08/29/2023,09/26/2023,99.588944,0.05395,99.588944,,,,,,,
912797HC4,Bill,8-Week,08/24/2023,08/29/2023,10/24/2023,99.177111,0.05423,99.177111,,,,,,,
912810TU2,Bond,20-Year,08/23/2023,08/31/2023,08/15/2043,98.374204,,98.374204,0.04499,0.04375,,,Bonds of August 2043,,Yes
912797HW0,Bill,17-Week,08/23/2023,08/29/2023,12/26/2023,98.243097,0.055,98.243097,,,,,,,
91282CHS3,Note,1-Year 11-Month,08/23/2023,08/25/2023,07/31/2025,99.922256,,99.922256,,,,,BF-2025,0.00125,No
912796YJ2,Bill,42-Day,08/22/2023,08/24/2023,10/05/2023,99.384000,0.05401,99.384000,,,,,,,
912797FL6,Bill,13-Week,08/21/2023,08/24/2023,11/24/2023,98.645556,0.05462,98.645556,,,,,,,
912796Z28,Bill,26-Week,08/21/2023,08/24/2023,02/22/2024,97.323083,0.05531,97.323083,,,,,,,
912797GJ0,Bill,7-Day,08/17/2023,08/22/2023,08/29/2023,99.898500,0.05312,99.898500,,,,,,,
912797GT8,Bill,4-Week,08/17/2023,08/22/2023,09/19/2023,99.589333,0.0539,99.589333,,,,,,,
912797HB6,Bill,8-Week,08/17/2023,08/22/2023,10/17/2023,99.178667,0.05412,99.178667,,,,,,,
912797HV2,Bill,17-Week,08/16/2023,08/22/2023,12/19/2023,98.246403,0.0549,98.246403,,,,,,,
912796CS6,Bill,42-Day,08/15/2023,08/17/2023,09/28/2023,99.383417,0.05406,99.383417,,,,,,,
912797FK8,Bill,13-Week,08/14/2023,08/17/2023,11/16/2023,98.661542,0.05456,98.661542,,,,,,,
912797GN1,Bill,26-Week,08/14/2023,08/17/2023,02/15/2024,97.325611,0.05526,97.325611,,,,,,,
912797GS0,Bill,4-Week,08/10/2023,08/15/2023,09/12/2023,99.589333,0.0539,99.589333,,,,,,,
912797HA8,Bill,8-Week,08/10/2023,08/15/2023,10/10/2023,99.178667,0.05412,99.178667,,,,,,,
912810TT5,Bond,30-Year,08/10/2023,08/15/2023,08/15/2053,98.912672,,98.912672,0.04189,0.04125,,,Bonds of August 2053,,Yes
912797HU4,Bill,17-Week,08/09/2023,08/15/2023,12/12/2023,98.244750,0.05495,98.244750,,,,,,,
91282CHT1,Note,10-Year,08/09/2023,08/15/2023,08/15/2033,98.986162,,98.986162,0.03999,0.03875,,,E-2033,,Yes
91282CHU8,Note,3-Year,08/08/2023,08/15/2023,08/15/2026,99.936014,,99.936014,0.04398,0.04375,,,AR-2026,,Yes
912796CR8,Bill,42-Day,08/08/2023,08/10/2023,09/21/2023,99.384583,0.05396,99.384583,,,,,,,
